AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DBROTA~1\DATAEX~1\MADDY_~1\EMILY_~1\CHANGE~1\AXISNA~1\WTHIPP~1.SPK
File Type,24-well

Analysis Start,0.000000
Analysis End,363.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
Activity Metrics
    Number of Spikes,121.000000,1.000000,400.000000,149.000000,1.000000,0.000000,1.000000,9.000000,391.000000,0.000000,1571.000000,1973.000000,7230.000000,464.000000,256.000000,0.000000,1.000000,0.000000,233.000000,0.000000,1746.000000,1698.000000,0.000000,173.000000
    Mean Firing Rate (Hz),0.020833,0.000172,0.068871,0.025654,0.000172,0.000000,0.000172,0.001550,0.067321,0.000000,0.270489,0.339704,1.244835,0.079890,0.044077,0.000000,0.000172,0.000000,0.040117,0.000000,0.300620,0.292355,0.000000,0.029787
    ISI Coefficient of Variation - Avg,2.638290, ,3.672212,3.262775, , , , ,14.096751, ,2.441843,1.550502,4.819708,1.678842,3.333517, , , ,0.849443, ,1.699265,2.445198, ,5.598856
    Number of Active Electrodes,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,7.000000,7.000000,14.000000,4.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,7.000000,1.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.325069, ,1.101928,0.410468, , , , ,1.077135, ,0.602912,0.759543,1.416765,0.317493,0.325069, , , ,0.319559, ,0.670209,4.677686, ,0.438017
Electrode Burst Metrics
    Number of Bursts,5.000000,0.000000,17.000000,5.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,76.000000,66.000000,312.000000,27.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.000000,111.000000,0.000000,7.000000
    Number of Bursting Electrodes,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,6.000000,4.000000,13.000000,4.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.000000,0.000000,1.000000
    Burst Duration - Avg (sec),0.074736, ,0.192984,0.122976, , , ,0.030480,1.718640, ,0.057967,0.037320,0.112992,0.032015,0.108777, , , , , ,0.209829,0.162875, ,0.086411
    Burst Duration - Std (sec), , , , , , , , , , ,0.015331,0.018997,0.023650,0.017030,0.055736, , , , , ,0.373816, , , 
    Number of Spikes per Burst - Avg,7.400000, ,14.352941,8.000000, , , ,6.000000,382.000000, ,9.312049,6.581771,19.428209,6.707353,8.523810, , , , , ,18.911264,9.549550, ,22.714286
    Number of Spikes per Burst - Std, , , , , , , , , , ,2.790281,1.622116,14.374810,1.376775,3.369531, , , , , ,28.584618, , , 
    Mean ISI within Burst - Avg (sec),0.013219, ,0.014097,0.018306, , , ,0.006096,0.004511, ,0.007627,0.006975,0.009965,0.005476,0.016033, , , , , ,0.009227,0.018292, ,0.003988
    Mean ISI within Burst - Std (sec), , , , , , , , , , ,0.002837,0.002688,0.006185,0.001972,0.005321, , , , , ,0.003710, , , 
    Median ISI within Burst - Avg (sec),0.006176, ,0.006122,0.011656, , , ,0.002400,0.003200, ,0.004774,0.004349,0.005062,0.003245,0.008798, , , , , ,0.005311,0.009806, ,0.003509
    Median ISI within Burst - Std (sec), , , , , , , , , , ,0.002109,0.000884,0.003080,0.000328,0.003010, , , , , ,0.002423, , , 
    Median/Mean ISI within Burst - Avg,0.602601, ,0.474006,0.611349, , , ,0.393701,0.709398, ,0.666987,0.742126,0.594211,0.712102,0.571332, , , , , ,0.641244,0.542946, ,0.878952
    Median/Mean ISI within Burst - Std, , , , , , , , , , ,0.068074,0.128473,0.165229,0.167301,0.131550, , , , , ,0.255150, , , 
    Inter-Burst Interval - Avg (sec),46.027120, ,7.736450,9.408100, , , , , , ,36.168686,22.669121,20.623745,66.765917,33.228500, , , , , ,46.549699,3.272754, ,36.728067
    Inter-Burst Interval - Std (sec),0.000000, ,0.000000,0.000000, , , , , , ,17.025242,8.163195,23.892042,42.096494,24.773147, , , , , ,27.545563,0.000000, ,0.000000
    Burst Frequency - Avg (Hz),0.013774, ,0.046832,0.013774, , , ,0.002755,0.002755, ,0.034894,0.045455,0.066116,0.018595,0.013774, , , , , ,0.041873,0.305785, ,0.019284
    Burst Frequency - Std (Hz), , , , , , , , , , ,0.040400,0.028585,0.022800,0.019398,0.009543, , , , , ,0.066156, , , 
    IBI Coefficient of Variation - Avg,1.927487, ,3.102041,1.097020, , , , , , ,0.784697,0.903889,0.776476,0.515332,0.787748, , , , , ,1.105869,0.701519, ,0.521444
    IBI Coefficient of Variation - Std,0.000000, ,0.000000,0.000000, , , , , , ,0.118835,0.375656,0.109725,0.287722,0.106233, , , , , ,0.648799,0.000000, ,0.000000
    Burst Percentage - Avg,15.677966,0.000000,61.000000,26.845638,0.000000, ,0.000000,42.857143,97.698210, ,30.320482,16.004151,74.659651,23.053970,41.187739, ,0.000000, ,0.000000, ,17.028722,62.426384, ,25.000000
    Burst Percentage - Std,22.171992, , , , , , ,60.609153, , ,36.683801,26.675553,37.804850,29.645189,49.076108, , , ,0.000000, ,25.656063, , ,50.000000
Network Burst Metrics
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , , , ,0.022039,0.005510,0.079890, , , , , , , ,0.002755, , , 
    Network Burst Duration - Avg (sec), , , , , , , , , , ,0.151660,0.119320,0.163081, , , , , , , ,0.900560, , , 
    Network Burst Duration - Std (sec), , , , , , , , , , ,0.056723,0.000962,0.025110, , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, , , , , , , , , , ,64.000000,51.500000,249.275862, , , , , , , ,121.000000, , , 
    Number of Spikes per Network Burst - Std, , , , , , , , , , ,7.855844,2.121320,24.627071, , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.002483,0.002364,0.000656, , , , , , , ,0.007505, , , 
    Mean ISI within Network Burst - Std (sec), , , , , , , , , , ,0.001150,0.000080,0.000066, , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.001220,0.001920,0.000417, , , , , , , ,0.002760, , , 
    Median ISI within Network Burst - Std (sec), , , , , , , , , , ,0.000331,0.000113,0.000045, , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , , , , , ,0.531622,0.813306,0.637816, , , , , , , ,0.367771, , , 
    Median/Mean ISI within Network Burst - Std, , , , , , , , , , ,0.129530,0.075463,0.066409, , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg, , , , , , , , , , ,8.500000,7.500000,14.724138, , , , , , , ,9.000000, , , 
    Number of Elecs Participating in Burst - Std, , , , , , , , , , ,0.925820,0.707107,0.454859, , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Avg, , , , , , , , , , ,7.593502,6.883929,16.946798, , , , , , , ,13.444444, , , 
    Number of Spikes per Network Burst per Channel - Std, , , , , , , , , , ,1.086842,0.366180,1.757525, , , , , , , , , , , 
    Network Burst Percentage, , , , , , , , , , ,32.590707,5.220476,99.986169, , , , , , , ,6.930126, , , 
    Network IBI Coefficient of Variation, , , , , , , , , , ,0.864907, ,0.793208, , , , , , , , , , , 
    Network Normalized Duration IQR, , , , , , , , , , ,0.277055, ,0.129462, , , , , , , , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014903,0.000000,0.000000,0.146458,0.100757,0.458586,0.166284,0.015632,0.000000,0.000000,0.000000,0.001002,0.000000,0.161879,0.000000,0.000000,0.056032
    Area Under Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,0.000000,0.000000,0.161364,0.090335,5.039761,0.040840,0.002066,0.000000,0.000000,0.000000,0.000046,0.000000,0.139945,0.000000,0.000000,0.002066
    Full Width at Half Height of Normalized Cross-Correlation, , , , , , , ,2.000000, , ,11.000000,7.000000,18.000000,11.000000,11.000000, , , ,39.000000, ,9.000000, , ,7.000000
    Full Width at Half Height of Cross-Correlation, , , , , , , ,2.000000, , ,37.000000,11.000000,85.000000,14.000000,13.000000, , , ,39.000000, ,14.000000, , ,14.000000
    Synchrony Index,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181607,0.000000,0.000000,0.300905,0.238114,0.690699,0.339027,0.153295,0.000000,0.000000,0.000000,0.004969,0.000000,0.258465,0.000000,0.000000,0.188581
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode, , , , , , , , , , ,21.000000,42.000000,43.000000, , , , , , , ,44.000000, , , 
    Percent Bursts with Start Electrode, , , , , , , , , , ,62.500000,50.000000,65.517241, , , , , , , ,100.000000, , , 
    Burst Peak (Max Spikes per sec), , , , , , , , , , ,1000.000000,2000.000000,3586.206897, , , , , , , ,3000.000000, , , 
    Time to Burst Peak (ms), , , , , , , , , , ,68.500000,1.500000,24.500000, , , , , , , ,12.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),24.379320,25.820777,25.350132,12.226900,13.656842,19.178851,18.712142,14.179869,32.596225,24.866441,16.439291,25.048740,22.445758,18.381862,16.041533,17.531697,15.552781,14.722593,20.756968,6.107660,19.422886,18.414096,13.682443,12.725298
    Resistance - Std (kOhms),11.030405,10.757625,9.042792,5.194560,6.696876,10.873816,11.184678,6.280549,10.648500,10.077039,7.159773,13.051324,9.117203,9.643210,6.845670,8.186135,8.639256,7.729335,10.372080,0.253891,8.656175,9.990124,6.522805,5.116390
    Number of Covered Electrodes,9.000000,11.000000,10.000000,1.000000,2.000000,6.000000,4.000000,3.000000,14.000000,11.000000,4.000000,8.000000,10.000000,5.000000,3.000000,3.000000,4.000000,4.000000,8.000000,0.000000,6.000000,5.000000,3.000000,1.000000
    Weighted Mean Resistance (kOhms),31.050889,30.691941,28.892197,29.009423,27.783889,30.715935,31.834811,25.285955,34.129556,28.818552,26.207531,34.844227,26.906513,27.560242,27.855955,30.671197,27.834815,25.505914,28.774911, ,27.011211,30.592839,24.614992,29.756814

Measurement,A1_11,A1_12,A1_13,A1_14,A1_21,A1_22,A1_23,A1_24,A1_31,A1_32,A1_33,A1_34,A1_41,A1_42,A1_43,A1_44,A2_11,A2_12,A2_13,A2_14,A2_21,A2_22,A2_23,A2_24,A2_31,A2_32,A2_33,A2_34,A2_41,A2_42,A2_43,A2_44,A3_11,A3_12,A3_13,A3_14,A3_21,A3_22,A3_23,A3_24,A3_31,A3_32,A3_33,A3_34,A3_41,A3_42,A3_43,A3_44,A4_11,A4_12,A4_13,A4_14,A4_21,A4_22,A4_23,A4_24,A4_31,A4_32,A4_33,A4_34,A4_41,A4_42,A4_43,A4_44,A5_11,A5_12,A5_13,A5_14,A5_21,A5_22,A5_23,A5_24,A5_31,A5_32,A5_33,A5_34,A5_41,A5_42,A5_43,A5_44,A6_11,A6_12,A6_13,A6_14,A6_21,A6_22,A6_23,A6_24,A6_31,A6_32,A6_33,A6_34,A6_41,A6_42,A6_43,A6_44,B1_11,B1_12,B1_13,B1_14,B1_21,B1_22,B1_23,B1_24,B1_31,B1_32,B1_33,B1_34,B1_41,B1_42,B1_43,B1_44,B2_11,B2_12,B2_13,B2_14,B2_21,B2_22,B2_23,B2_24,B2_31,B2_32,B2_33,B2_34,B2_41,B2_42,B2_43,B2_44,B3_11,B3_12,B3_13,B3_14,B3_21,B3_22,B3_23,B3_24,B3_31,B3_32,B3_33,B3_34,B3_41,B3_42,B3_43,B3_44,B4_11,B4_12,B4_13,B4_14,B4_21,B4_22,B4_23,B4_24,B4_31,B4_32,B4_33,B4_34,B4_41,B4_42,B4_43,B4_44,B5_11,B5_12,B5_13,B5_14,B5_21,B5_22,B5_23,B5_24,B5_31,B5_32,B5_33,B5_34,B5_41,B5_42,B5_43,B5_44,B6_11,B6_12,B6_13,B6_14,B6_21,B6_22,B6_23,B6_24,B6_31,B6_32,B6_33,B6_34,B6_41,B6_42,B6_43,B6_44,C1_11,C1_12,C1_13,C1_14,C1_21,C1_22,C1_23,C1_24,C1_31,C1_32,C1_33,C1_34,C1_41,C1_42,C1_43,C1_44,C2_11,C2_12,C2_13,C2_14,C2_21,C2_22,C2_23,C2_24,C2_31,C2_32,C2_33,C2_34,C2_41,C2_42,C2_43,C2_44,C3_11,C3_12,C3_13,C3_14,C3_21,C3_22,C3_23,C3_24,C3_31,C3_32,C3_33,C3_34,C3_41,C3_42,C3_43,C3_44,C4_11,C4_12,C4_13,C4_14,C4_21,C4_22,C4_23,C4_24,C4_31,C4_32,C4_33,C4_34,C4_41,C4_42,C4_43,C4_44,C5_11,C5_12,C5_13,C5_14,C5_21,C5_22,C5_23,C5_24,C5_31,C5_32,C5_33,C5_34,C5_41,C5_42,C5_43,C5_44,C6_11,C6_12,C6_13,C6_14,C6_21,C6_22,C6_23,C6_24,C6_31,C6_32,C6_33,C6_34,C6_41,C6_42,C6_43,C6_44,D1_11,D1_12,D1_13,D1_14,D1_21,D1_22,D1_23,D1_24,D1_31,D1_32,D1_33,D1_34,D1_41,D1_42,D1_43,D1_44,D2_11,D2_12,D2_13,D2_14,D2_21,D2_22,D2_23,D2_24,D2_31,D2_32,D2_33,D2_34,D2_41,D2_42,D2_43,D2_44,D3_11,D3_12,D3_13,D3_14,D3_21,D3_22,D3_23,D3_24,D3_31,D3_32,D3_33,D3_34,D3_41,D3_42,D3_43,D3_44,D4_11,D4_12,D4_13,D4_14,D4_21,D4_22,D4_23,D4_24,D4_31,D4_32,D4_33,D4_34,D4_41,D4_42,D4_43,D4_44,D5_11,D5_12,D5_13,D5_14,D5_21,D5_22,D5_23,D5_24,D5_31,D5_32,D5_33,D5_34,D5_41,D5_42,D5_43,D5_44,D6_11,D6_12,D6_13,D6_14,D6_21,D6_22,D6_23,D6_24,D6_31,D6_32,D6_33,D6_34,D6_41,D6_42,D6_43,D6_44,
Activity Metrics
    Number of Spikes,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,391.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,99.000000,407.000000,101.000000,736.000000,0.000000,4.000000,10.000000,57.000000,2.000000,0.000000,0.000000,23.000000,0.000000,0.000000,87.000000,89.000000,0.000000,0.000000,324.000000,8.000000,0.000000,93.000000,29.000000,0.000000,0.000000,397.000000,73.000000,0.000000,44.000000,6.000000,910.000000,707.000000,304.000000,696.000000,0.000000,208.000000,134.000000,1304.000000,44.000000,196.000000,170.000000,1246.000000,635.000000,30.000000,97.000000,1065.000000,394.000000,119.000000,70.000000,0.000000,183.000000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,89.000000,0.000000,0.000000,0.000000,0.000000,5.000000,3.000000,0.000000,1.000000,62.000000,0.000000,0.000000,11.000000,174.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.000000,0.000000,0.000000,0.000000,127.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,136.000000,0.000000,0.000000,0.000000,443.000000,0.000000,245.000000,0.000000,71.000000,544.000000,151.000000,30.000000,8.000000,4.000000,1.000000,113.000000,0.000000,0.000000,0.000000,1698.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,9.000000,0.000000,0.000000,0.000000,4.000000,0.000000,159.000000
    Mean Firing Rate (Hz),0.000000,0.000000,0.008264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.101928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019284,0.005510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.077135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.123967,0.272727,1.121212,0.278237,2.027548,0.000000,0.011019,0.027548,0.157025,0.005510,0.000000,0.000000,0.063361,0.000000,0.000000,0.239669,0.245179,0.000000,0.000000,0.892562,0.022039,0.000000,0.256198,0.079890,0.000000,0.000000,1.093664,0.201102,0.000000,0.121212,0.016529,2.506887,1.947658,0.837466,1.917355,0.000000,0.573003,0.369146,3.592287,0.121212,0.539945,0.468320,3.432507,1.749311,0.082645,0.267218,2.933884,1.085399,0.327824,0.192837,0.000000,0.504132,0.000000,0.000000,0.005510,0.002755,0.000000,0.000000,0.000000,0.245179,0.000000,0.000000,0.000000,0.000000,0.013774,0.008264,0.000000,0.002755,0.170799,0.000000,0.000000,0.030303,0.479339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289256,0.000000,0.000000,0.000000,0.349862,0.000000,0.002755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.374656,0.000000,0.000000,0.000000,1.220386,0.000000,0.674931,0.000000,0.195592,1.498623,0.415978,0.082645,0.022039,0.011019,0.002755,0.311295,0.000000,0.000000,0.000000,4.677686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002755,0.000000,0.000000,0.024793,0.000000,0.000000,0.000000,0.011019,0.000000,0.438017
    ISI Coefficient of Variation, , , , , , , , , , , , , , , ,2.638290, , , , , , , , , , , , , , , , , , , , , ,3.672212, , , , , , , , , , , , , , , , , , ,3.262775, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.096751, , , , , , , , , , , , , , , , , , , , , , , , ,1.648019,1.249528,1.417888,4.442843,2.030142, , , ,1.929130, , , , , , ,4.375354,2.810863, , ,1.734287, , ,1.548611, , , ,1.551240,1.231443, ,0.797667, ,1.179403,6.299802,4.061399,6.248110, ,3.312008,2.597757,8.584829,1.352785,3.207916,2.965076,8.354280,5.950059, ,2.147951,7.748026,4.645910,1.512075,1.313663, ,2.361983, , , , , , , ,1.527648, , , , , , , , ,3.695720, , , ,2.971314, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.846938, , , ,0.851948, , , , , , , , , , , , , , , , , , , , , , , ,2.986495, , , ,2.229686, ,1.052618, ,0.715751,1.090342,1.031621, , , , ,2.788341, , , ,2.445198, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.598856
Electrode Burst Metrics
